g_x: 1392, g_y: 1027, g_z: -1263, roll: -53.5637299996, pitch: -35.6437212592, yaw: -15.3656426418, addr: dcb9, time[s]: 372.67, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1683, g_y: 1113, g_z: 58, roll: 56.2866156481, pitch: 1.97610414081, yaw: 48.063703095, addr: db4a, time[s]: 372.87, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 611, g_y: 28005, g_z: 1479, roll: -22.489541899, pitch: 0.657724645431, yaw: -0.259746864772, addr: dcd5, time[s]: 373.04, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 7, g_y: -12258, g_z: -2745, roll: 14.3454036251, pitch: 0.545793052778, yaw: -4.50517570107, addr: dccb, time[s]: 376.6, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 328, g_y: 2123, g_z: 77, roll: -8.88993858216, pitch: 2.22008788947, yaw: -25.3746650308, addr: fc43, time[s]: 377.51, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1404, g_y: 1026, g_z: -1253, roll: -53.534640224, pitch: -35.6562205054, yaw: -15.3562221034, addr: dcb9, time[s]: 377.71, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1686, g_y: 1109, g_z: 63, roll: 56.3878322214, pitch: 1.937076013, yaw: 48.0986395126, addr: db4a, time[s]: 377.9, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 632, g_y: 19021, g_z: 1315, roll: -35.1621246208, pitch: 0.419001983379, yaw: -0.0956361086553, addr: dcd5, time[s]: 378.09, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 8, g_y: 25029, g_z: -2744, roll: 14.3338930488, pitch: 0.581458753159, yaw: -4.56493259923, addr: dccb, time[s]: 381.63, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 334, g_y: 2132, g_z: 80, roll: -8.90654362581, pitch: 2.2293216649, yaw: -25.38781656, addr: fc43, time[s]: 382.54, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1403, g_y: 1036, g_z: -1260, roll: -53.4951856362, pitch: -35.6623710907, yaw: -15.3559147449, addr: dcb9, time[s]: 382.74, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1690, g_y: 1112, g_z: 69, roll: 56.4891512476, pitch: 1.89434293446, yaw: 48.11948525, addr: db4a, time[s]: 382.93, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 2263, g_y: 1018, g_z: 887, roll: -45.3677625428, pitch: 21.1270813765, yaw: -69.3774689095, addr: dcd5, time[s]: 383.17, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 12, g_y: 22739, g_z: -2746, roll: 14.3134229719, pitch: 0.570964647747, yaw: -4.54493295157, addr: dccb, time[s]: 386.66, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 336, g_y: 2122, g_z: 82, roll: -8.89798027614, pitch: 2.23558601559, yaw: -25.3673106246, addr: fc43, time[s]: 387.57, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1405, g_y: 1033, g_z: -1248, roll: -53.4477124064, pitch: -35.6497352408, yaw: -15.3532543862, addr: dcb9, time[s]: 387.77, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1697, g_y: 1105, g_z: 78, roll: 56.5849753865, pitch: 1.85644925839, yaw: 48.1972298782, addr: db4a, time[s]: 387.98, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -76, g_y: -1535, g_z: 1527, roll: -7.50909631313, pitch: 48.3792988158, yaw: 2.0727696737, addr: dcd5, time[s]: 388.21, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
